len_x	len_y	TJ	J1	J2	J3	J4	trueED	TED[0]	TED[1]	TED[2]	ED1[0]	ED1[1]	ED1[2]	ED2[0]	ED2[1]	ED2[2]	ED3[0]	ED3[1]	ED3[2]	ED4[0]	ED4[1]	ED4[2]
6165	1579	0.0	0.0	0.0	0.0078125	0.000895573187313848	4594.0	4586.0	0.0	385.3125	4586.0	0.0	385.3125	4586.0	0.0	385.3125	4586.0	30.368627450980387	381.5605620155039	4586.0	3.469212848283223	384.8794304228416
15207	26775	0.00021466393168916663	0.0	0.0	0.0078125	0.0023435684588553078	14667.0	11568.0	4.506494280977542	1672.8743695600335	11568.0	0.0	1673.4375	11568.0	0.0	1673.4375	11568.0	164.63529411764708	1653.0973837209303	11568.0	49.25155771844099	1667.3026467585773
14670	5575	0.0	0.0	0.0	0.0078125	-0.004961769960007356	9476.0	9095.0	0.0	916.875	9095.0	0.0	916.875	9095.0	0.0	916.875	9095.0	79.3921568627451	907.0663759689922	9095.0	-50.10122105338327	923.1844958193409
23919	5635	0.0	0.0	0.0	0.0078125	-0.001651277580465645	18284.0	18284.0	0.0	1494.9375	18284.0	0.0	1494.9375	18284.0	0.0	1494.9375	18284.0	115.89803921568628	1480.6187015503876	18284.0	-24.38079907308922	1497.9926610197142
13839	10672	0.0	0.0	0.0	0.0078125	0.004778434586806519	6954.0	3167.0000000000005	0.0	864.9375	3167.0000000000005	0.0	864.9375	3167.0000000000005	0.0	864.9375	3167.0000000000005	96.12156862745097	853.062015503876	3167.0000000000005	58.70235776694762	857.6520499118558
20957	14733	8.414911222686601e-05	0.0	0.0	0.0078125	-0.0010252115999921214	10653.0	6224.000000000001	1.5017040912214759	1309.6248106804287	6224.000000000001	0.0	1309.8125	6224.000000000001	0.0	1309.8125	6224.000000000001	139.9607843137255	1292.5208333333333	6224.000000000001	-18.285527734286823	1312.1017095494174
2664	2630	0.026932084309133488	0.0078125	0.0078125	0.0078125	0.02494677550779698	506.0	34.00000000000005	72.26231454005934	157.82254846066138	34.00000000000005	20.76078431372549	163.93507751937983	34.00000000000005	20.76078431372549	163.93507751937983	34.00000000000005	20.76078431372549	163.93507751937983	34.00000000000005	66.86818760149245	158.44664099308682
2819	2760	0.0	0.0	0.0	0.0078125	0.0033419170814032095	1432.0	58.99999999999994	0.0	176.1875	58.99999999999994	0.0	176.1875	58.99999999999994	0.0	176.1875	58.99999999999994	21.87843137254902	173.484496124031	58.99999999999994	9.337880910433597	175.02609660153394
2957	14179	0.0	0.0	0.0	0.0078125	0.0004637352286253172	11222.0	11222.0	0.0	886.1875	11222.0	0.0	886.1875	11222.0	0.0	886.1875	11222.0	67.19999999999999	877.8851744186046	11222.0	3.9742049282772265	885.6910697823226
2126	2055	0.0	0.0	0.0	0.0078125	-0.004247164850375725	1105.0	71.00000000000003	0.0	132.875	71.00000000000003	0.0	132.875	71.00000000000003	0.0	132.875	71.00000000000003	16.396078431372548	130.84932170542635	71.00000000000003	-8.859883426975713	133.98957103187362
4171	790	0.008594229588704727	0.0	0.0078125	0.0078125	0.01031665112030741	3381.0	3381.0000000000005	21.409987669543774	258.0454580036519	3381.0000000000005	0.0	260.6875	3381.0000000000005	19.454901960784312	258.2839147286822	3381.0000000000005	19.454901960784312	258.2839147286822	3381.0000000000005	25.723141441909778	257.52135735111534
3505	12520	0.0	0.0	0.0	0.0078125	0.001583145256982436	9037.0	9015.0	0.0	782.5	9015.0	0.0	782.5	9015.0	0.0	782.5	9015.0	62.84313725490196	774.7359496124031	9015.0	12.695000386396325	780.9168873757959
6876	22504	0.0	0.0	0.0	0.0078125	0.003853668124696941	15802.0	15628.0	0.0	1406.5	15628.0	0.0	1406.5	15628.0	0.0	1406.5	15628.0	115.21568627450979	1392.265503875969	15628.0	56.71967415195936	1399.4508669254612
20680	20161	2.4506800637176815e-05	0.0	0.0	0.0078125	0.0008758269830753332	10614.0	518.9999999999994	0.500447254592018	1292.4374463926872	518.9999999999994	0.0	1292.5	518.9999999999994	0.0	1292.5	518.9999999999994	160.1607843137255	1272.7126937984497	518.9999999999994	17.89266034525453	1290.2663531746741
3414	11360	0.0	0.0	0.0	0.0078125	-0.0027759051643401387	7995.0	7946.0	0.0	710.0	7946.0	0.0	710.0	7946.0	0.0	710.0	7946.0	57.93725490196078	702.8420542635658	7946.0	-20.477190080133294	712.5703364413241
15709	7316	0.0	0.0	0.0	0.0078125	0.000550255872280628	9371.0	8393.0	0.0	981.8125	8393.0	0.0	981.8125	8393.0	0.0	981.8125	8393.0	90.29411764705883	970.6569767441861	8393.0	6.336564095432526	981.0210828907082
2683	7589	0.0	0.0	0.0	0.0078125	0.001456609493715053	5067.0	4906.000000000001	0.0	474.3125	4906.000000000001	0.0	474.3125	4906.000000000001	0.0	474.3125	4906.000000000001	40.28235294117647	469.3357558139535	4906.000000000001	7.4865988852264405	473.3787168624183
