indexID 	 len(seq1) 	 len(seq2) 	 edit_distance 
(0, 1) 	 6165 	 1579 	 4594 
(2, 3) 	 15207 	 26775 	 14667 
(4, 5) 	 14670 	 5575 	 9476 
(6, 7) 	 23919 	 5635 	 18284 
(8, 9) 	 13839 	 10672 	 6954 
(10, 11) 	 20957 	 14733 	 10653 
(12, 13) 	 2664 	 2630 	 506 
(14, 15) 	 2819 	 2760 	 1432 
(16, 17) 	 2957 	 14179 	 11222 
(18, 19) 	 2126 	 2055 	 1105 
(20, 21) 	 4171 	 790 	 3381 
(22, 23) 	 3505 	 12520 	 9037 
(24, 25) 	 6876 	 22504 	 15802 
(26, 27) 	 20680 	 20161 	 10614 
(28, 29) 	 3414 	 11360 	 7995 
(30, 31) 	 15709 	 7316 	 9371 
(32, 33) 	 2683 	 7589 	 5067 
(34, 35) 	 25977 	 5565 	 20412 
(36, 37) 	 4563 	 5178 	 2617 
(38, 39) 	 18451 	 19558 	 9924 
(40, 41) 	 2350 	 2749 	 1383 
(42, 43) 	 1777 	 20316 	 18539 
(44, 45) 	 2031 	 18631 	 16600 
(46, 47) 	 7634 	 2590 	 5169 
(48, 49) 	 1986 	 772 	 1282 
(50, 51) 	 4049 	 4665 	 2379 
(52, 53) 	 15150 	 3075 	 12075 
(54, 55) 	 7624 	 1828 	 5796 
(56, 57) 	 14092 	 7692 	 7848 
(58, 59) 	 14347 	 11471 	 7176 
(60, 61) 	 9143 	 17166 	 9600 
(62, 63) 	 8335 	 21830 	 14075 
(64, 65) 	 2653 	 6842 	 4387 
(66, 67) 	 4730 	 19966 	 15236 
(68, 69) 	 1582 	 1595 	 849 
(70, 71) 	 1511 	 1596 	 441 
(72, 73) 	 1453 	 1544 	 796 
(74, 75) 	 1449 	 30223 	 28774 
(76, 77) 	 10456 	 3889 	 6954 
(78, 79) 	 13015 	 4308 	 8868 
(80, 81) 	 9380 	 12412 	 6274 
(82, 83) 	 18035 	 1537 	 16498 
(84, 85) 	 4038 	 14003 	 10013 
(86, 87) 	 9587 	 19025 	 10968 
(88, 89) 	 20029 	 5402 	 14667 
(90, 91) 	 3778 	 10739 	 7251 
(92, 93) 	 10656 	 11514 	 5907 
(94, 95) 	 2030 	 1946 	 1062 
(96, 97) 	 2053 	 1972 	 405 
(98, 99) 	 13076 	 2662 	 10414 
(100, 101) 	 6329 	 18732 	 12665 
(102, 103) 	 7218 	 324 	 6894 
(104, 105) 	 20541 	 6003 	 14601 
(106, 107) 	 1648 	 2895 	 1604 
(108, 109) 	 14262 	 407 	 13855 
(110, 111) 	 4037 	 5563 	 2870 
(112, 113) 	 17167 	 3055 	 14112 
(114, 115) 	 3135 	 16183 	 13048 
(116, 117) 	 10722 	 8692 	 5363 
(118, 119) 	 3484 	 2508 	 1773 
(120, 121) 	 4614 	 9146 	 5288 
(122, 123) 	 11902 	 15152 	 7586 
(124, 125) 	 5703 	 20165 	 14520 
(126, 127) 	 8862 	 14906 	 7979 
(128, 129) 	 15152 	 33959 	 20533 
(130, 131) 	 19360 	 10402 	 11296 
(132, 133) 	 13627 	 17042 	 8513 
(134, 135) 	 21945 	 8949 	 13757 
(136, 137) 	 3733 	 4085 	 2188 
(138, 139) 	 15025 	 1446 	 13579 
(140, 141) 	 3134 	 3046 	 1598 
(142, 143) 	 4927 	 7755 	 4123 
(144, 145) 	 3351 	 1406 	 2077 
(146, 147) 	 16146 	 1895 	 14251 
(148, 149) 	 17739 	 354 	 17385 
(150, 151) 	 23191 	 3330 	 19861 
(152, 153) 	 8094 	 10043 	 5065 
(154, 155) 	 2154 	 5881 	 3843 
(156, 157) 	 18063 	 3559 	 14504 
(158, 159) 	 22281 	 5655 	 16630 
(160, 161) 	 2319 	 16286 	 13967 
(162, 163) 	 28266 	 5451 	 22815 
(164, 165) 	 7677 	 14784 	 8418 
(166, 167) 	 3223 	 1100 	 2189 
(168, 169) 	 238 	 2961 	 2723 
(170, 171) 	 9606 	 15331 	 8102 
(172, 173) 	 8197 	 3482 	 5076 
(174, 175) 	 13506 	 12860 	 6899 
(176, 177) 	 1783 	 10018 	 8235 
(178, 179) 	 1455 	 15589 	 14134 
(180, 181) 	 12714 	 11047 	 6331 
(182, 183) 	 15021 	 2987 	 12034 
(184, 185) 	 4755 	 4981 	 2558 
(186, 187) 	 2067 	 9259 	 7201 
(188, 189) 	 1980 	 3846 	 2082 
(190, 191) 	 349 	 2625 	 2276 
(192, 193) 	 9610 	 18140 	 10563 
(194, 195) 	 19805 	 2085 	 17720 
(196, 197) 	 18625 	 2055 	 16570 
(198, 199) 	 8061 	 3905 	 4537 
(200, 201) 	 2619 	 2579 	 1348 
(202, 203) 	 4169 	 5774 	 2958 
(204, 205) 	 5075 	 12098 	 7546 
(206, 207) 	 21117 	 1857 	 19260 
(208, 209) 	 1799 	 14861 	 13062 
(210, 211) 	 2689 	 8100 	 5502 
(212, 213) 	 6775 	 7264 	 3718 
(214, 215) 	 1649 	 13632 	 11983 
(216, 217) 	 3475 	 21349 	 17874 
(218, 219) 	 20787 	 8659 	 12945 
(220, 221) 	 11616 	 20934 	 11537 
(222, 223) 	 11443 	 10452 	 5853 
(224, 225) 	 9544 	 1250 	 8294 
(226, 227) 	 6570 	 8116 	 4052 
(228, 229) 	 6469 	 3381 	 3690 
(230, 231) 	 2750 	 11830 	 9080 
(232, 233) 	 6889 	 20455 	 13853 
(234, 235) 	 10286 	 3889 	 6654 
(236, 237) 	 20857 	 12740 	 11075 
(238, 239) 	 23276 	 7760 	 16795 
(240, 241) 	 709 	 9648 	 8939 
(242, 243) 	 2183 	 15311 	 13128 
(244, 245) 	 13415 	 1596 	 11819 
(246, 247) 	 10200 	 15385 	 7940 
(248, 249) 	 15069 	 6786 	 9115 
(250, 251) 	 10622 	 6227 	 5763 
(252, 253) 	 6354 	 4959 	 3158 
(254, 255) 	 6163 	 7735 	 3857 
(256, 257) 	 9307 	 2943 	 6442 
(258, 259) 	 2032 	 1961 	 1019 
(260, 261) 	 9515 	 646 	 8869 
(262, 263) 	 16618 	 17668 	 9100 
(264, 265) 	 1778 	 29267 	 27489 
(266, 267) 	 14279 	 7956 	 7869 
(268, 269) 	 16032 	 1936 	 14096 
(270, 271) 	 3601 	 7417 	 4344 
(272, 273) 	 21295 	 3227 	 18068 
(274, 275) 	 1727 	 1752 	 234 
(276, 277) 	 17795 	 1720 	 16075 
(278, 279) 	 2802 	 9318 	 6568 
(280, 281) 	 11214 	 5423 	 6571 
(282, 283) 	 26784 	 2176 	 24608 
(284, 285) 	 3400 	 3998 	 2017 
(286, 287) 	 3808 	 12235 	 8503 
(288, 289) 	 11962 	 567 	 11395 
(290, 291) 	 3447 	 9563 	 6304 
(292, 293) 	 4619 	 9313 	 5403 
(294, 295) 	 24333 	 7691 	 16854 
(296, 297) 	 1293 	 30484 	 29191 
(298, 299) 	 484 	 19103 	 18619 
(300, 301) 	 3268 	 309 	 2959 
(302, 303) 	 565 	 11023 	 10458 
(304, 305) 	 24136 	 1172 	 22964 
(306, 307) 	 1876 	 1795 	 980 
(308, 309) 	 4300 	 19062 	 14762 
(310, 311) 	 2887 	 4261 	 2200 
(312, 313) 	 20721 	 21053 	 10863 
(314, 315) 	 7959 	 3371 	 4928 
(316, 317) 	 3351 	 5080 	 2680 
(318, 319) 	 12136 	 24133 	 14002 
(320, 321) 	 3211 	 3219 	 545 
(322, 323) 	 20340 	 20152 	 10508 
(324, 325) 	 2243 	 8346 	 6121 
(326, 327) 	 8411 	 22899 	 15021 
(328, 329) 	 1411 	 6710 	 5299 
(330, 331) 	 5649 	 6808 	 3418 
(332, 333) 	 4901 	 4775 	 2519 
(334, 335) 	 4028 	 8135 	 4716 
(336, 337) 	 476 	 2487 	 2011 
(338, 339) 	 2451 	 3448 	 1741 
(340, 341) 	 2568 	 5144 	 2966 
(342, 343) 	 5005 	 5044 	 2586 
(344, 345) 	 4935 	 10521 	 6248 
(346, 347) 	 13099 	 10757 	 6555 
(348, 349) 	 1881 	 2473 	 1260 
(350, 351) 	 716 	 9285 	 8569 
(352, 353) 	 13308 	 9193 	 6771 
(354, 355) 	 16736 	 2837 	 13899 
(356, 357) 	 2751 	 11770 	 9019 
(358, 359) 	 928 	 8832 	 7904 
(360, 361) 	 10488 	 6969 	 5399 
(362, 363) 	 77 	 5090 	 5013 
(364, 365) 	 8019 	 12548 	 6605 
(366, 367) 	 11846 	 19719 	 10646 
(368, 369) 	 5204 	 3671 	 2713 
(370, 371) 	 4643 	 4033 	 2325 
(372, 373) 	 3770 	 8185 	 4931 
(374, 375) 	 4423 	 5089 	 2563 
(376, 377) 	 13652 	 5010 	 8944 
(378, 379) 	 13919 	 7430 	 7893 
(380, 381) 	 2407 	 3919 	 2101 
(382, 383) 	 11209 	 9779 	 5606 
(384, 385) 	 3622 	 2583 	 1852 
